,m_a,br_4tau,xsec_br_4tau,xsec_br_2tau2mu,xsec_br_4mu,br_2tau2mu,br_4mu
33,36.5,0.0869195958,1.674940611,0.0119898602848,2.14569920726e-05,0.000622203439817,1.11349206401e-06
34,37.0,0.07564627955,1.457703807,0.0104334627533,1.8669283928e-05,0.000541435534652,9.68826358439e-07
35,37.5,0.06947106319,1.338707388,0.0095805740982,1.71410498055e-05,0.00049717561473,8.89519968933e-07
36,38.0,0.06597920998,1.271419376,0.00909794892577,1.62756436268e-05,0.000472130198652,8.44610463457e-07
37,38.5,0.06704936421,1.292041248,0.00924446613168,1.65358795998e-05,0.000479733582461,8.58115184432e-07
38,39.0,0.06704617319,1.291979757,0.0092430189982,1.65314897037e-05,0.000479658484736,8.57887374597e-07
39,39.5,0.06865270996,1.322937721,0.00946350489638,1.69240629211e-05,0.00049110040975,8.78259622223e-07
40,40.0,0.06542919306,1.26082055,0.00901824585095,1.61261565391e-05,0.000467994076433,8.36852960174e-07
41,40.5,0.06810907509,1.312461877,0.00938670763077,1.67833979961e-05,0.000487115082027,8.70959937515e-07
42,41.0,0.06730087511,1.296887863,0.00927445425803,1.65811370895e-05,0.000481289790382,8.60463782781e-07
43,41.5,0.07534777353,1.451951596,0.010382427043,1.85603279753e-05,0.000538787080565,9.6317218341e-07
44,42.0,0.07480761978,1.441542833,0.0103071004997,1.84240659172e-05,0.00053487807477,9.56100981796e-07
45,42.5,0.06568099405,1.265672755,0.00904886133243,1.61735905055e-05,0.000469582840419,8.39314504926e-07
46,43.0,0.06218914084,1.198384744,0.0085670950504,1.53112591699e-05,0.000444581995345,7.94564565113e-07
47,43.5,0.0600389692,1.156950937,0.0082702431828,1.47795641361e-05,0.000429177123981,7.66972710403e-07
48,44.0,0.06030411449,1.162060286,0.00830613868073,1.48425904866e-05,0.000431039890105,7.70243408898e-07
49,44.5,0.0627156602,1.208530772,0.0086376681988,1.54338875023e-05,0.000448244327929,8.00928256514e-07
50,45.0,0.0629805154,1.213634532,0.00867353371063,1.54968783942e-05,0.000450105537566,8.04197114223e-07
51,45.5,0.07102741382,1.368698264,0.00978106652478,1.74744983753e-05,0.000507579996212,9.06823994774e-07
52,46.0,0.06673084175,1.285903321,0.00918878585365,1.64152670122e-05,0.000476844102244,8.51856097876e-07
53,46.5,0.06538567906,1.259982035,0.00900298248721,1.6082311377e-05,0.000467201997441,8.34577653512e-07
54,47.0,0.05867408016,1.130649525,0.00807835960479,1.44297354002e-05,0.000419219491568,7.48818650551e-07
55,47.5,0.06162229851,1.187461692,0.00848376748279,1.5152975289e-05,0.000440257783334,7.86350560077e-07
56,48.0,0.06993753324,1.347696266,0.0096279972699,1.71957016146e-05,0.000499636599199,8.92356077255e-07
57,48.5,0.08522922207,1.642367109,0.0117324776412,2.09531460486e-05,0.000608846789997,1.08734541008e-06
58,49.0,0.09783754774,1.885329545,0.0134673789117,2.40502111729e-05,0.000698877992285,1.2480649285e-06
59,49.5,0.0956876662,1.843901328,0.0131707500999,2.35192436222e-05,0.000683484696293,1.22051082605e-06
60,50.0,0.0833407146,1.60597557,0.01147068838,2.04823619938e-05,0.000595261462505,1.06291447837e-06
61,50.5,0.06911569888,1.331859517,0.00951233947434,1.69846371033e-05,0.000493634638159,8.8140306739e-07
62,51.0,0.05972044674,1.150813009,0.00821888105924,1.46744095995e-05,0.00042651173103,7.61515806714e-07
63,51.5,0.05676526616,1.093866679,0.00781181494881,1.39469585202e-05,0.000405387387033,7.23765361647e-07
64,52.0,0.05890847556,1.135166324,0.00810638563638,1.44722158102e-05,0.000420673878395,7.51023134963e-07
65,52.5,0.0656136924,1.264375853,0.00902868968426,1.61180785803e-05,0.000468536049872,8.36433761003e-07
66,53.0,0.06829386453,1.316022769,0.00939708709708,1.67750224369e-05,0.000487653715651,8.70525295445e-07
67,53.5,0.06426533868,1.238393076,0.00884240092507,1.57841754034e-05,0.000458868755976,8.19106144681e-07
68,54.0,0.05701706716,1.098718884,0.00784477728219,1.4002792594e-05,0.000407097938943,7.26662822846e-07
69,54.5,0.05594024078,1.07796844,0.00769631620566,1.37372489165e-05,0.000399393679525,7.12882662912e-07
