ma1,mh1,mh2,xsec_8_ggf_h1_2a1_4tau,xsec_8_ggf_h2_2a1_4tau,xsec_8_ggf_h2_2h1_4tau,xsec_8_ggf_h1_2a1_4b,xsec_8_ggf_h2_2a1_4b,xsec_8_ggf_h2_2h1_4b,xsec_8_ggf_h1_2a1_2b2tau,xsec_8_ggf_h2_2a1_2b2tau,xsec_8_ggf_h2_2h1_2b2tau,xsec_8_ggf_h1_2a1_2tau2mu,xsec_8_ggf_h2_2a1_2tau2mu,xsec_8_ggf_h2_2h1_2tau2mu,xsec_8_ggf_h1_2a1_4mu,xsec_8_ggf_h2_2a1_4mu,xsec_8_ggf_h2_2h1_4mu
30.7562985,125.257973,279.88588,0.00414427821999,4.70701634859e-05,5.33268210473e-07,0.525174128851,0.00596485824343,4.4622420599e-05,0.0933052560984,0.00105974874888,9.75617104807e-06,2.95008155775e-05,3.350663586e-07,3.77524245764e-09,5.2499981513e-08,5.96287841126e-10,6.68165443487e-12
57.0552601,125.297133,323.605265,0.00273168616791,2.43347142218e-06,9.25438445718e-09,0.282130978042,0.000251331093755,7.71447911345e-07,0.0555227265274,4.94613802541e-05,1.68988467775e-07,1.93530033147e-05,1.72402602659e-08,6.5515847668e-11,3.42772480325e-08,3.05352439449e-11,1.1595385721e-13
56.2555351,125.367112,367.092791,0.00477268047281,0.000107166557572,5.82234230384e-06,0.457070038474,0.0102631263232,0.000486981187757,0.09341197455,0.00209748794321,0.0001064964069,3.38145849902e-05,7.59278290211e-07,4.12188602246e-08,5.9894338442e-08,1.34487739237e-09,7.29515008543e-11
49.5011314,124.537949,394.182906,0.00883869181095,1.51345478541e-05,4.42664642404e-08,0.825490248037,0.00141349216934,3.70738824466e-06,0.170836224441,0.000292523946905,8.10217178681e-07,6.2658877923e-05,1.07291192712e-07,3.13386333425e-10,1.1104966285e-07,1.90151039603e-10,5.54657999361e-13
25.7071672,124.567189,1188.88422,0.00877142282391,7.09727667611e-08,5.17166511135e-12,1.23911914788,1.00261629199e-05,4.31753280712e-10,0.208507438479,1.68710938877e-06,9.45067908368e-11,6.26213192164e-05,5.06691830076e-10,3.66130042014e-14,1.11767204111e-07,9.04349028445e-13,6.48007966386e-17
14.0269339,125.644106,1362.50874,0.0145976278531,5.84059222633e-07,8.21607195095e-10,2.33676807233,9.34953923704e-05,6.8405764985e-08,0.369384735466,1.47792890475e-05,1.49936878316e-08,0.000106688337954,4.26865983682e-09,5.81647920189e-12,1.94935806863e-07,7.79949022991e-12,1.02942837246e-14
53.3863159,126.093164,1959.28551,0.0198437193505,4.25666623776e-09,4.76963800319e-14,1.94667879332,4.17581086938e-07,3.96260080744e-12,0.393087001261,8.43208945468e-08,8.69486547397e-13,0.000140624343163,3.01652569852e-11,3.37658484844e-16,2.4913683696e-07,5.34422173455e-14,5.97599085668e-19
57.7154591,125.386543,865.215457,0.00378649676801,3.10057261872e-06,1.25089121735e-08,0.285584180182,0.00023385058635,1.04219240487e-06,0.0657681860858,5.38542746644e-05,2.28356679433e-07,2.68247685805e-05,2.19654599119e-08,8.8555925549e-11,4.75088355731e-08,3.89026067498e-11,1.56731293679e-13
41.5962706,126.242485,908.176734,0.00989632392835,1.01728087806e-06,2.31109159332e-09,0.968861038473,9.95929210758e-05,1.91830980634e-07,0.195838327998,2.01309686007e-05,4.21112320732e-08,7.02320995508e-05,7.21942535596e-09,1.6360937506e-11,1.24605556645e-07,1.28086803739e-11,2.89560436342e-14
53.4463596,125.529982,714.154224,0.00156090782346,1.59271926106e-06,4.44708489754e-09,0.151401339276,0.000154486911777,3.70073234503e-07,0.0307456361104,3.13722348563e-05,8.11356171392e-08,1.10614618463e-05,1.12868954036e-08,3.14827246742e-11,1.95969192315e-08,1.99963061548e-11,5.57197566355e-14
11.4438388,107.645905,124.372937,0.00325034620078,0.00692416117267,,0.650069054951,1.38483183999,,0.091933660495,0.195844824871,,2.41743743439e-05,5.14982878334e-05,,4.49490868681e-08,9.57543297894e-08,
